Longitude,Latitude,month,year,Census.year,temp,site,long.scaled,long.center
-101.8833,33.5667,3,1982,1981,12.2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1982,1981,15.3,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1982,1981,17.8,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1982,1981,13.4,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1983,1982,13.8,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1983,1982,14.5,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1983,1982,14.7,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1983,1982,13.8,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1983,1982,11.2,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1983,1982,7.6,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1983,1982,7.3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1983,1982,8.7,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1983,1982,7,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1983,1982,8.3,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1983,1982,10.7,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1983,1982,12.5,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1983,1982,14.6,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1983,1982,11.4,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1984,1983,14.8,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1984,1983,16.3,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1984,1983,17.3,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1984,1983,15.8,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1984,1983,11.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1984,1983,7.1,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1984,1983,6.2,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1984,1983,7.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1984,1983,5.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1984,1983,6.1,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1984,1983,9.8,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1984,1983,13.2,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1984,1983,16.6,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1984,1983,11.8,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1985,1984,14.9,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1985,1984,16.4,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1985,1984,17.9,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1985,1984,17.7,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1985,1984,13.4,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1985,1984,9.7,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1985,1984,10.4,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1985,1984,11.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1985,1984,9.9,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1985,1984,11.1,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1985,1984,11.8,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1985,1984,16.1,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1985,1984,18.3,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1985,1984,14.2,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1986,1985,15.9,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1986,1985,17,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1986,1985,17.4,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1986,1985,17.3,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1986,1985,15.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1986,1985,11.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1986,1985,11.9,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1986,1985,13,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1986,1985,11.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1986,1985,11.3,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1986,1985,13.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1986,1985,15.5,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1986,1985,17.7,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1986,1985,15.4,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1987,1986,11,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1987,1986,12.5,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1987,1986,14.3,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1987,1986,14,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1987,1986,10.6,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1987,1986,7.6,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1987,1986,8.2,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1987,1986,9.4,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1987,1986,8.3,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1987,1986,9.9,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1987,1986,9.2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1987,1986,12.7,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1987,1986,14.7,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1987,1986,11.2,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1988,1987,14,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1988,1987,15.4,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1988,1987,16.2,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1988,1987,15.1,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1988,1987,12.3,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1988,1987,7.9,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1988,1987,7.3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1988,1987,9.1,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1988,1987,7.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1988,1987,8.3,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1988,1987,10.6,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1988,1987,13.7,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1988,1987,16.1,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1988,1987,12.7,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1989,1988,14.3,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1989,1988,15.5,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1989,1988,15.9,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1989,1988,15.1,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1989,1988,13.3,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1989,1988,11.1,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1989,1988,9.7,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1989,1988,10.6,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1989,1988,9.1,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1989,1988,8.4,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1989,1988,12.5,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1989,1988,13.5,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1989,1988,15.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1989,1988,12.7,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1990,1989,14,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1990,1989,15.1,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1990,1989,16.6,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1990,1989,16.3,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1990,1989,12.6,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1990,1989,8.7,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1990,1989,9.4,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1990,1989,10.8,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1990,1989,8.7,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1990,1989,9.9,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1990,1989,10.9,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1990,1989,14.3,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1990,1989,16.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1990,1989,13.2,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1991,1990,15.7,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1991,1990,16.8,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1991,1990,17.5,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1991,1990,16.7,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1991,1990,14.5,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1991,1990,10.2,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1991,1990,10.9,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1991,1990,12.4,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1991,1990,10.7,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1991,1990,10.8,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1991,1990,12.5,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1991,1990,15.3,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1991,1990,17.4,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1991,1990,14.9,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1992,1991,15.2,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1992,1991,15.8,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1992,1991,17.2,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1992,1991,16.6,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1992,1991,13.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1992,1991,11.1,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1992,1991,11.7,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1992,1991,12.5,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1992,1991,10.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1992,1991,10.4,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1992,1991,12.5,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1992,1991,15.1,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1992,1991,17.4,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1992,1991,14.1,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1993,1992,14.1,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1993,1992,14.9,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1993,1992,15.6,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1993,1992,14.7,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1993,1992,11.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1993,1992,8.3,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1993,1992,7.1,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1993,1992,8.6,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1993,1992,6.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1993,1992,6.9,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1993,1992,10.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1993,1992,12.8,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1993,1992,15.8,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1993,1992,11.6,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1994,1993,15.4,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1994,1993,16.8,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1994,1993,17,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1994,1993,16,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1994,1993,12.9,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1994,1993,9.6,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1994,1993,10.8,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1994,1993,11,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1994,1993,10.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1994,1993,10.3,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1994,1993,12,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1994,1993,14.6,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1994,1993,16.7,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1994,1993,13.5,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1995,1994,13.6,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1995,1994,13.7,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1995,1994,15.4,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1995,1994,15.6,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1995,1994,11.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1995,1994,9.4,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1995,1994,8.1,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1995,1994,9.6,elreno,0.211630768,0.480863357
