"transition","site","Longitude","Latitude","long.scaled","long.center","season","pr"
"1908-1909","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",297
"1908-1909","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",200
"1908-1909","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",348
"1908-1909","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",197
"1908-1909","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",99
"1908-1909","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",426
"1908-1909","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",314
"1908-1909","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",163
"1908-1909","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",79
"1908-1909","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",421
"1908-1909","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",629
"1908-1909","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",371
"1908-1909","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",416
"1908-1909","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",315
"1908-1909","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",202
"1908-1909","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",352
"1908-1909","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",240
"1908-1909","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",318
"1908-1909","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",212
"1909-1910","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",250
"1909-1910","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",206
"1909-1910","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",181
"1909-1910","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",366
"1909-1910","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",245
"1909-1910","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",640
"1909-1910","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",175
"1909-1910","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",220
"1909-1910","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",152
"1909-1910","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",494
"1909-1910","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",163
"1909-1910","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",459
"1909-1910","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",188
"1909-1910","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",173
"1909-1910","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",301
"1909-1910","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",387
"1909-1910","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",184
"1909-1910","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",162
"1909-1910","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",325
"1909-1910","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",623
"1909-1910","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",223
"1909-1910","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",666
"1909-1910","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",182
"1909-1910","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",307
"1909-1910","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",191
"1909-1910","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",336
"1909-1910","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",180
"1909-1910","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",276
"1910-1911","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",197
"1910-1911","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",215
"1910-1911","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",184
"1910-1911","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",215
"1910-1911","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",189
"1910-1911","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",695
"1910-1911","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",59
"1910-1911","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",266
"1910-1911","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",162
"1910-1911","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",376
"1910-1911","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",76
"1910-1911","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",530
"1910-1911","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",131
"1910-1911","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",149
"1910-1911","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",187
"1910-1911","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",241
"1910-1911","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",76
"1910-1911","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",302
"1910-1911","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",455
"1910-1911","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",355
"1910-1911","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",194
"1910-1911","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",646
"1910-1911","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",127
"1910-1911","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",207
"1910-1911","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",150
"1910-1911","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",226
"1910-1911","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",163
"1910-1911","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",221
"1911-1912","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",249
"1911-1912","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",228
"1911-1912","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",283
"1911-1912","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",403
"1911-1912","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",216
"1911-1912","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",709
"1911-1912","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",108
"1911-1912","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",259
"1911-1912","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",255
"1911-1912","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",510
"1911-1912","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",98
"1911-1912","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",490
"1911-1912","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",164
"1911-1912","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",168
"1911-1912","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",345
