Longitude,Latitude,month,year,tempmax,site,long.scaled,long.center
-98.514125,33.913161,1,1991,11,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1992,13.3,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1992,14,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1992,15,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1992,14.4,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1992,11.8,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1992,10.4,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1992,11.5,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1992,11.1,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1992,10.3,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1992,9.1,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1992,10.6,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1992,12.9,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1992,15.6,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1992,12.3,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1993,15.7,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1993,16,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1993,17,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1993,16.3,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1993,11.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1993,9.8,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1993,5.7,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1993,7.3,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1993,3.3,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1993,5.9,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1993,12.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1993,12.9,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1993,17.8,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1993,12,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1994,16.6,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1994,17.2,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1994,17.8,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1994,15.5,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1994,13.4,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1994,12.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1994,9.6,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1994,8.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1994,6.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1994,4.6,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1994,14.1,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1994,12.9,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1994,17.3,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1994,13.2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1995,16.5,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1995,16.9,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1995,17.5,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1995,16.1,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1995,13.5,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1995,11.6,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1995,8.9,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1995,9.3,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1995,6.9,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1995,7.1,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1995,14.3,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1995,14.4,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1995,17.5,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1995,13.4,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1996,18.5,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1996,19.2,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1996,18.3,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1996,16.3,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1996,13.4,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1996,12.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1996,9.4,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1996,9.2,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1996,7,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1996,5.6,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1996,14.6,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1996,12.5,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1996,17.7,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1996,13,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1997,13.9,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1997,14.1,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1997,15.4,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1997,14.7,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1997,13.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1997,9.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1997,7.7,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1997,9.1,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1997,6.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1997,5.8,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1997,12,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1997,11.7,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1997,15.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1997,12.7,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1998,17.7,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1998,19.2,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1998,19,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1998,17.8,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1998,14.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1998,11.1,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1998,10.1,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1998,10.5,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1998,7.9,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1998,7.7,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1998,15.1,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1998,14.7,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1998,19.4,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1998,14.3,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1999,18.9,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1999,20.5,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1999,19.4,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1999,18.4,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1999,16,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1999,13.4,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1999,10.3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1999,10.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1999,7,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1999,7.9,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1999,16.5,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1999,15.9,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1999,19.8,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1999,15.3,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2000,19.4,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2000,19.6,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2000,20.1,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2000,18.8,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2000,16.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2000,14.7,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2000,11,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2000,11.2,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2000,7.8,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2000,8.9,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2000,16.6,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2000,15.9,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2000,20,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2000,15.5,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2001,13.6,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2001,14,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2001,14.7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2001,13.4,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2001,9.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2001,4.4,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2001,7.1,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2001,7.5,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2001,6.3,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2001,5.2,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2001,9.6,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2001,11.2,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2001,15,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2001,10.7,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2002,16.9,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2002,17.4,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2002,17.9,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2002,16.9,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2002,15.6,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2002,12,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2002,12.3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2002,11.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2002,9.9,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2002,8.4,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2002,14.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2002,15.1,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2002,18.3,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2002,15.2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2003,16.1,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2003,17.1,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2003,15.6,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2003,14.5,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2003,12.9,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2003,13.1,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2003,10,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2003,9.8,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2003,6.9,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2003,6.1,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2003,15.3,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2003,12.7,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2003,15.7,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2003,12.7,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2004,16.1,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2004,16.8,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2004,17.7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2004,16.1,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2004,15.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2004,12.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2004,10.5,woodward,-0.422253661,-0.959436643
