Longitude,Latitude,month,year,Census.year,ppt,site,long.scaled,long.center
-99.3978,36.4331,1,2001,2000,34.96,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2001,2000,43.97,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2001,2000,23.65,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2001,2000,80.65,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2001,2000,36.08,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2001,2000,64.6,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2001,2000,104.31,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2001,2000,62.13,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2002,2001,1.51,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2002,2001,15.86,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2002,2001,33.17,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2002,2001,51.43,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2002,2001,27.48,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2002,2001,24.49,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2002,2001,28.86,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2002,2001,102.51,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2002,2001,32.24,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2002,2001,73.15,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2002,2001,18.8,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2002,2001,97.19,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2002,2001,32.87,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2002,2001,31.18,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2003,2002,2.2,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2003,2002,9.3,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2003,2002,38.93,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2003,2002,27.5,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2003,2002,1.67,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2003,2002,0.39,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2003,2002,2.68,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2003,2002,1.71,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2003,2002,2.74,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2003,2002,8.98,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2003,2002,2.41,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2003,2002,2.88,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2003,2002,44.95,Katy,1.108289626,2.518234357
