rcp,model,longitude,latitude,unit,site,transition,season,pr
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1925-1926,gs,292.9262669
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1926-1927,ds,255.0322595
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1926-1927,gs,173.9331772
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1927-1928,ds,111.4516135
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1927-1928,gs,246.689658
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1928-1929,ds,275.8064542
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1928-1929,gs,246.437782
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1929-1930,ds,266.2903197
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1929-1930,gs,286.3248805
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1930-1931,ds,246.1612881
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1930-1931,gs,199.6912458
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1931-1932,ds,140.7741921
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1931-1932,gs,157.3070068
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1932-1933,ds,90.29032315
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1932-1933,gs,205.3202809
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1933-1934,ds,254.7419314
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1933-1934,gs,354.5483843
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1934-1935,ds,171.1935482
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1934-1935,gs,256.4009215
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1935-1936,ds,123.4838702
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1935-1936,gs,306.3581736
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1936-1937,ds,226.1612893
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1936-1937,gs,360.1013868
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1937-1938,ds,138.483872
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1937-1938,gs,210.6912406
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1938-1939,ds,198.7096805
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1938-1939,gs,312.3732771
