"location","rcp","model","longitude","latitude","unit","site","transition","season","tas"
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1926-1927","ds",26.0207305908204
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1926-1927","gs",14.9823108673096
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1927-1928","ds",26.9851051330568
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1927-1928","gs",14.5092826843263
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1928-1929","ds",25.0201469421386
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1928-1929","gs",14.9747920989992
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1929-1930","ds",25.7922874450685
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1929-1930","gs",14.3736549377442
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1930-1931","ds",25.9697242736817
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1930-1931","gs",14.5217586517333
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1931-1932","ds",27.4949432373048
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1931-1932","gs",15.7405639648438
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1932-1933","ds",28.007112121582
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1932-1933","gs",14.5295043945314
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1933-1934","ds",26.57456741333
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1933-1934","gs",14.0655990600586
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1934-1935","ds",27.0398193359375
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1934-1935","gs",14.7374588012694
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1935-1936","ds",27.2923942565918
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1935-1936","gs",15.3193775177002
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1936-1937","ds",26.3111930847169
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1936-1937","gs",14.1773372650147
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1937-1938","ds",27.1717849731447
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1937-1938","gs",15.0871883392334
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1938-1939","ds",26.2875152587891
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1938-1939","gs",14.6025215148925
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1939-1940","ds",26.9453521728516
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1939-1940","gs",14.3300415039062
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1940-1941","ds",27.0243812561035
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1940-1941","gs",15.2683902740479
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1941-1942","ds",26.2190681457521
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1941-1942","gs",15.081704711914
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1942-1943","ds",25.5218521118167
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1942-1943","gs",13.9124904632569
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1943-1944","ds",26.229306793213
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1943-1944","gs",14.3756061553955
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1944-1945","ds",25.3453651428222
