"transition","site","Longitude","Latitude","long.scaled","long.center","season","pr"
"1984-1985","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",458.24
"1984-1985","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",124.6
"1984-1985","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",377.17
"1984-1985","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",216.6
"1984-1985","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",1012.51
"1984-1985","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",326.89
"1984-1985","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",984.64
"1984-1985","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",134.04
"1984-1985","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",548.35
"1984-1985","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",187.95
"1984-1985","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",766.64
"1984-1985","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",147.77
"1984-1985","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",449.02
"1985-1986","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",340.9
"1985-1986","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",221.97
"1985-1986","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",383.8
"1985-1986","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",469.31
"1985-1986","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",352.09
"1985-1986","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",774.99
"1985-1986","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",249.06
"1985-1986","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",260.28
"1985-1986","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",229.03
"1985-1986","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",640.73
"1985-1986","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",287.73
"1985-1986","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",653.64
"1985-1986","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",342.81
"1985-1986","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",225.19
"1985-1986","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",484.59
